Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
559088,290,3,9.1,1.06,27,0.09,0.05,35,0.03,0.02,93.9,0.97,5.4,2.3,1,0.15,POINT (-5.972152977885376 54.1733949751423),3.13,54.39,Clay
559089,570,4,16.9,3.3,548,0.06,0.06,33,0.05,0.01,133,1.05,15.5,4,5,0.21,POINT (-6.085878051487095 54.12482220393802),3.46,59.81,Clay
559090,820,0.5,43.2,1.47,182,0.33,0.13,38,0.43,0.02,24.4,0.24,6,21.2,34,0.1,POINT (-6.059766937926561 54.242516389987024),4.55,23.36,Clay
559091,130,1,4.4,1.43,17,0.06,0.06,20,0.04,0.01,54,0.69,2.5,2.2,3,0.09,POINT (-5.993162247644969 54.142163031938516),3.52,26.97,Clay
559092,560,0.5,19.5,0.46,309,0.17,0.1,34,0.31,0.03,18.8,0.19,1.9,13.5,24,0.05,POINT (-6.012326274156552 54.27325460095164),4.82,8.86,Clay
559093,750,0.5,29.7,0.54,177,0.36,0.09,40,0.33,0.02,22,0.21,3.9,16.3,30,0.07,POINT (-6.120797472641251 54.20901657825148),5.61,7.66,Loam
559094,100,0.5,10.3,0.93,160,0.03,0.11,62,0.04,0.02,54,0.2,6.9,1.7,2,0.03,POINT (-5.99007087954347 54.16237376330607),3.65,9.65,Clay
559095,200,3,3.2,0.42,7,0.17,0.01,39,0.13,0.03,40.4,0.63,0.7,1.5,0.5,0.09,POINT (-6.106593235230136 54.13046931212476),2.91,96.28,Clay
559096,80,1,2.3,0.45,19,0.005,0.07,9,0.03,0.02,21.2,0.13,4,1.9,12,0.04,POINT (-5.93091216696646 54.14477489402239),3.77,11.91,Clay
559097,390,4,8.8,1.18,15,0.05,0.05,43,0.04,0.02,126,1.29,13,2.7,3,0.21,POINT (-5.921999039109909 54.158018884985545),3.14,68.04,Clay
559098,110,0.5,2.4,0.55,10,0.01,0.07,10,0.005,0.02,28,0.29,1.3,0.9,1,0.05,POINT (-6.007822078537918 54.15366543602941),3.4,16.62,Clay
559099,940,0.5,34.9,1.36,427,0.23,0.16,48,0.78,0.03,21.1,0.26,5.2,39.7,78,0.09,POINT (-6.043814364408494 54.23112563093634),4.53,11.09,Clay
559100,550,0.5,27.4,0.38,475,0.22,0.14,49,0.53,0.02,17.9,0.13,2.2,25.4,36,0.06,POINT (-6.076392687812178 54.272919430536476),4.88,5.34,Clay
559101,700,0.5,17,1.3,764,0.2,0.12,41,0.4,0.01,21.5,0.18,5.2,19.6,56,0.08,POINT (-6.066634315111402 55.1222177363216),4.87,12.76,Clay
559102,820,2,31.1,0.68,84,0.08,0.03,46,0.37,0.02,63.6,0.35,6.5,50.4,86,0.16,POINT (-5.9966412978412205 55.01815349257851),3.84,54.69,Clay
559103,600,0.5,13.3,0.36,239,0.15,0.05,49,0.43,0.02,17.4,0.15,0.8,60,77,0.09,POINT (-6.270080755470611 55.07618975280539),4.1,18.52,Clay
559104,1110,2,36.4,0.58,584,0.41,0.02,71,0.45,0.02,42.7,0.35,2,69.7,124,0.24,POINT (-6.14466848021773 55.01744684223602),4.55,30.63,Clay
559105,2580,1,63.5,0.67,717,0.43,0.07,125,1.39,0.02,28.6,0.39,1.9,196,149,0.14,POINT (-6.111808692455329 55.01997782912271),4.76,32.08,Clay
559106,420,0.5,12.6,0.73,145,0.37,0.07,36,0.19,0.02,41.8,0.29,1.4,6.2,9,0.14,POINT (-6.287860472574774 55.10092186538089),4.34,37.9,Clay
559107,490,2,8.7,0.85,23,0.24,0.04,72,0.13,0.03,115,1.56,4.5,4.9,3,0.21,POINT (-6.199076161606265 55.02589196372626),3.24,96.12,Clay
559108,350,2,4.3,0.35,17,0.24,0.005,49,0.1,0.02,53.6,0.42,1.5,2.3,2,0.09,POINT (-6.197386590933236 55.04262206820578),3.14,88.75,Clay
559110,630,1,15.6,0.47,55,0.19,0.03,38,0.2,0.03,55.5,0.51,1.9,14.7,11,0.13,POINT (-6.243027005866419 55.03646188777488),3.25,88.1,Clay
559111,790,0.5,4.4,0.33,189,0.19,0.11,18,0.1,0.01,32.9,0.29,3.5,11.2,30,0.09,POINT (-6.066062199851375 55.09643322828368),4.66,15.41,Clay
559112,650,0.5,45.1,0.38,688,0.62,0.03,101,1.95,0.06,32.4,0.32,2.8,199,113,0.11,POINT (-6.08875153448398 55.01917750241862),4.78,18.46,Clay
559113,540,0.5,18.6,0.31,175,0.07,0.06,25,0.31,0.02,15.5,0.12,4.9,32.2,23,0.04,POINT (-6.054623300018495 55.05261483042695),4.3,5.67,Clay
559115,500,3,6.3,0.53,9,0.27,0.02,53,0.14,0.03,102,0.7,4.7,2.9,2,0.15,POINT (-6.164452725180164 55.02451199817484),3.07,96.58,Clay
559116,830,0.5,51.7,0.35,970,0.7,0.04,63,1.53,0.05,32.5,0.29,2.7,134,73,0.1,POINT (-6.0824524320793385 55.034189777418405),4.89,18.19,Clay
559117,380,2,4.8,0.37,7,0.26,0.005,40,0.16,0.03,58,0.59,1.3,2.7,1,0.15,POINT (-6.212142678727642 55.056603172192226),2.99,97.26,Clay
559118,750,0.5,43.7,0.39,753,0.71,0.02,100,1.85,0.04,36,0.39,2.8,162,108,0.13,POINT (-6.101502430750766 55.01108479124068),4.52,21.78,Clay
559119,2010,0.5,61.6,0.99,1720,0.31,0.1,105,0.61,0.02,19.1,0.36,3.2,60.2,56,0.08,POINT (-6.280781382119838 55.081884342495),4.9,10.38,Clay
559120,1080,2,20.5,1.01,39,0.15,0.04,37,0.2,0.03,130,0.68,8.1,29.8,35,0.24,POINT (-6.0198822560163405 55.018039925980396),3.54,79.42,Clay
559121,520,2,6.5,1.09,18,0.17,0.02,21,0.06,0.03,71.2,0.48,4.1,6.6,6,0.17,POINT (-6.192407196316715 55.094789841386934),3.02,91.97,Clay
559122,360,3,7.8,0.71,9,0.24,0.02,46,0.1,0.03,122,0.89,5.9,3.5,2,0.16,POINT (-6.160044891218543 55.065403613931814),3.25,96.31,Clay
559123,630,1,5.8,0.43,13,0.14,0.04,22,0.11,0.03,41.5,0.36,1.1,4.7,4,0.12,POINT (-6.27481418026076 55.092445711425064),3.09,93.88,Clay
559124,770,0.5,46,0.62,316,0.3,0.02,46,0.49,0.03,39.2,0.41,0.6,75,159,0.17,POINT (-6.199870242328635 55.01062193204347),3.83,46.13,Clay
559125,500,2,5.8,0.54,13,0.23,0.03,48,0.15,0.03,92.8,0.65,3.1,3.1,2,0.18,POINT (-6.235564493223708 55.10903338398264),3.01,97.23,Clay
559126,1710,1,65.8,0.48,412,0.86,0.03,76,0.8,0.03,23.1,0.66,2.1,111,139,0.15,POINT (-6.214848342924859 54.98594802131571),4.96,36.31,Silt
559127,880,0.5,27,0.4,810,0.25,0.07,62,0.49,0.02,24,0.33,3.8,79.6,97,0.06,POINT (-6.100130400293317 55.06420460090233),4.43,13.52,Clay
559129,700,2,9.4,0.68,42,0.11,0.05,20,0.11,0.02,26.7,0.29,2.5,8.9,10,0.17,POINT (-6.268729333051823 55.110362826663454),3.41,74.04,Clay
559130,960,2,16,0.52,29,0.14,0.03,26,0.15,0.02,59.9,0.33,1.7,20,22,0.19,POINT (-6.276523630016182 55.03814482030228),3.32,88.03,Clay
559131,650,0.5,39.8,0.3,388,0.88,0.03,72,1.1,0.08,32.4,0.44,2.8,96.4,118,0.13,POINT (-5.9884397882296 55.03641811432906),5.36,25.03,Silt
559132,560,3,6.3,0.41,177,0.72,0.02,137,0.18,0.02,120,1.18,8.9,5.1,3,0.18,POINT (-6.182613178337232 55.05342566258394),4.41,93.31,Clay
559133,1140,0.5,40,0.76,1280,0.37,0.11,96,0.6,0.02,21.7,0.41,3.7,38.6,38,0.09,POINT (-6.308752850590998 55.12077133127097),5.42,11.34,Silt
559134,990,0.5,10.4,0.44,470,0.23,0.15,46,0.22,0.02,19.9,0.2,4.9,21.2,37,0.06,POINT (-6.085419739640156 55.08575159557244),4.88,9.46,Clay
559135,410,2,9.4,0.74,15,0.3,0.03,64,0.13,0.04,99.6,1.18,4.4,4.4,4,0.25,POINT (-6.236188359459997 55.090607601988424),3.18,96.58,Clay
559136,1110,2,9.3,0.66,56,0.16,0.02,21,0.08,0.02,110,0.3,3.1,9,17,0.21,POINT (-6.129452060927646 55.02556902099778),3.41,82.57,Clay
559138,640,2,7,0.61,12,0.33,0.03,45,0.14,0.04,78.2,0.8,2.6,3.1,2,0.19,POINT (-6.2109701828708745 55.10707543985263),3.25,96.1,Clay
559139,970,0.5,9,0.34,337,0.24,0.12,45,0.24,0.02,20.4,0.24,2.1,23,36,0.04,POINT (-6.09463660160447 55.082302558005104),4.68,11.35,Clay
559140,820,0.5,19.2,0.49,177,0.13,0.13,29,0.16,0.01,18.7,0.19,6.6,22,48,0.05,POINT (-6.072736793561086 55.07591149190606),4.31,10.0,Clay
559141,610,2,36.5,0.49,687,0.2,0.03,65,0.8,0.03,57.4,0.43,3.1,99.7,122,0.17,POINT (-6.2204289047369095 55.07936404622494),3.89,43.42,Clay
