Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
557593,670,1.0,39.6,0.45,431,0.27,0.2,58,0.56,0.03,18.9,0.26,4.6,25.5,23.0,0.11,POINT (-7.393851207721029 54.9370058104333),5.12,10.44,Silt
557594,570,0.5,15.4,0.63,1030,0.17,0.21,48,0.41,0.03,16.4,0.07,3.7,15.6,27.0,0.05,POINT (-7.300813765313696 54.95880139625226),5.31,7.24,Silt
557595,340,0.5,11.6,0.4,848,0.1,0.29,62,0.68,0.02,21.9,0.05,0.5,26.2,25.0,0.04,POINT (-7.334817783087496 55.045352058231245),5.15,6.8,Silt
557597,430,0.5,14.6,0.42,270,0.11,0.26,43,0.43,0.03,13.1,0.08,7.3,20.3,19.0,0.06,POINT (-7.379528495024159 54.92993592072603),4.74,7.13,Clay
557598,230,0.5,11.3,0.22,101,0.11,0.19,26,0.25,0.03,12.4,0.03,1.8,11.6,11.0,0.07,POINT (-7.2904214256857625 54.94971344270064),4.84,8.58,Clay
557599,500,0.5,12.0,0.39,1210,0.12,0.15,37,0.24,0.04,13.4,0.1,9.2,12.6,14.0,0.05,POINT (-7.400922024531487 54.88852474854107),4.81,6.32,Clay
557600,610,0.5,57.2,0.38,446,0.26,0.21,73,0.98,0.03,20.4,0.07,7.5,38.1,38.0,0.04,POINT (-7.39486405577473 54.97550192089208),4.83,12.15,Clay
557601,1870,0.5,45.3,0.94,1770,0.25,0.27,103,0.96,0.03,35.8,0.45,14.3,86.2,48.0,0.14,POINT (-5.666889777244278 54.237758557582005),5.0,10.56,Silt
557602,1010,0.5,39.5,1.21,904,0.32,0.16,64,0.46,0.03,38.7,0.35,13.4,114.0,51.0,0.11,POINT (-5.871125404562255 54.2920220045775),5.32,10.83,Silt
557603,850,0.5,21.9,0.48,640,0.33,0.25,74,0.97,0.02,24.6,0.14,5.9,48.6,43.0,0.09,POINT (-5.6848755058770655 54.39659836793034),5.9,10.15,Loam
557604,560,0.5,74.9,0.66,1590,0.13,0.33,89,0.88,0.03,39.3,0.34,19.2,65.3,36.0,0.06,POINT (-5.7210413498897905 54.2750352685115),4.65,9.29,Clay
557605,1040,0.5,25.1,0.55,859,0.29,0.25,90,1.33,0.03,30.7,0.28,20.3,57.9,46.0,0.05,POINT (-5.759850260872535 54.25534721238015),5.07,9.26,Silt
557606,1260,1.0,52.0,0.46,764,0.61,0.32,68,1.66,0.03,14.2,0.26,4.1,126.0,175.0,0.16,POINT (-5.6756969591838775 54.4349798644664),4.6,15.16,Clay
557607,350,0.5,15.1,0.47,843,0.2,0.25,53,0.86,0.02,15.1,0.08,4.7,48.7,45.0,0.08,POINT (-5.769581072649735 54.32038681098691),4.61,7.91,Clay
557608,650,0.5,27.2,0.33,872,0.22,0.27,75,0.92,0.02,17.0,0.09,3.5,52.8,45.0,0.07,POINT (-5.7448329771725115 54.416396811729214),4.72,8.69,Clay
557609,1040,0.5,26.0,0.8,902,0.24,0.2,77,0.53,0.02,29.1,0.27,8.0,30.0,29.0,0.08,POINT (-5.8445984674044205 54.330817516400565),5.12,14.25,Silt
557610,320,0.5,33.7,0.83,654,0.2,0.27,48,0.87,0.02,18.3,0.05,8.4,52.8,46.0,0.06,POINT (-5.789468546694468 54.446407379417884),5.37,6.75,Silt
557611,450,0.5,26.3,0.59,1110,0.15,0.31,62,1.14,0.02,19.0,0.15,7.2,60.6,45.0,0.06,POINT (-5.639884891864203 54.26525095316807),4.8,7.25,Clay
557612,760,0.5,21.3,0.8,354,0.09,0.24,78,0.47,0.02,30.8,0.18,9.4,30.1,26.0,0.07,POINT (-5.8517443902833275 54.34119750192437),4.03,17.13,Clay
557613,450,0.5,23.3,0.42,585,0.23,0.2,62,0.76,0.02,17.6,0.12,4.6,52.4,49.0,0.05,POINT (-5.823616845189898 54.32025102974418),5.26,12.45,Silt
557614,580,0.5,19.6,0.39,669,0.28,0.24,67,0.74,0.02,25.7,0.12,8.4,44.5,42.0,0.06,POINT (-5.860629712152737 54.318172813168246),5.78,7.52,Loam
557615,630,0.5,42.1,0.76,584,0.22,0.21,90,1.02,0.03,30.2,0.3,14.7,102.0,52.0,0.05,POINT (-5.732146306313694 54.286980243518286),5.15,8.58,Silt
557616,440,0.5,25.2,0.39,691,0.14,0.22,59,0.78,0.02,14.7,0.1,4.9,49.7,47.0,0.04,POINT (-5.852868941047591 54.3600331630069),5.04,10.44,Silt
557617,550,0.5,20.7,0.97,938,0.22,0.28,71,0.97,0.02,20.2,0.1,6.1,49.6,43.0,0.06,POINT (-5.654405915755691 54.41913950528238),5.52,6.28,Silt
557618,780,0.5,30.5,0.55,1040,0.19,0.23,82,0.79,0.02,23.1,0.19,7.8,55.3,47.0,0.08,POINT (-5.880702499515729 54.339095037022055),4.41,12.6,Clay
557619,730,0.5,20.4,0.43,1010,0.21,0.32,67,0.86,0.02,11.4,0.12,4.3,51.1,41.0,0.05,POINT (-5.64154363422333 54.43945743530395),5.3,7.14,Silt
557620,730,0.5,19.0,0.67,886,0.18,0.19,71,0.93,0.02,18.0,0.15,4.5,49.2,49.0,0.05,POINT (-5.797395109054464 54.30441840669025),4.52,8.59,Clay
557621,960,0.5,26.7,0.76,848,0.14,0.19,81,0.87,0.02,28.6,0.21,16.0,39.8,34.0,0.06,POINT (-5.788831065432135 54.25981831283229),4.29,8.09,Clay
557622,880,0.5,26.9,0.48,1010,0.19,0.24,68,1.18,0.02,25.6,0.15,8.2,53.6,44.0,0.07,POINT (-5.67661607792266 54.28140265587856),5.22,7.53,Silt
557623,320,0.5,30.9,1.53,455,0.16,0.31,59,1.0,0.02,34.2,0.05,12.6,53.5,40.0,0.1,POINT (-5.66345194964206 54.42371797257759),5.18,8.32,Silt
557624,1380,0.5,27.0,0.58,880,0.26,0.2,73,0.94,0.02,30.2,0.21,7.4,51.5,40.0,0.08,POINT (-5.84319121480319 54.289854099860335),4.84,10.44,Clay
557625,720,0.5,23.3,0.45,582,0.16,0.23,81,0.99,0.03,17.4,0.11,18.1,62.6,42.0,0.03,POINT (-5.781663797844921 54.27638207958759),4.72,10.64,Clay
557626,600,0.5,21.3,1.25,340,0.34,0.2,50,1.05,0.03,20.4,0.13,9.7,52.1,50.0,0.07,POINT (-5.780869213792437 54.29515659253511),4.83,9.93,Clay
557627,650,0.5,52.8,0.47,1370,0.22,0.29,81,1.28,0.02,96.7,0.17,9.2,66.7,49.0,0.05,POINT (-5.706622559450259 54.26123797011028),6.13,7.12,Loam
557629,600,0.5,11.6,0.23,419,0.35,0.16,48,0.68,0.02,13.3,0.14,2.1,39.0,37.0,0.1,POINT (-5.65402898844937 54.435441401043725),4.94,6.52,Silt
557630,930,0.5,22.7,0.44,1380,0.18,0.23,71,0.65,0.02,18.7,0.16,3.8,41.0,36.0,0.06,POINT (-5.6997117452648 54.44571041262193),4.73,9.77,Clay
557631,530,0.5,24.7,0.7,766,0.15,0.22,66,0.63,0.02,43.3,0.18,10.6,27.5,40.0,0.06,POINT (-5.898868981482877 54.29497080876493),4.74,10.38,Clay
557632,470,0.5,31.4,0.3,587,0.18,0.28,64,0.93,0.02,20.1,0.1,5.2,51.1,45.0,0.06,POINT (-5.724000324018866 54.409212653461324),4.45,7.92,Clay
557633,260,0.5,23.4,0.3,649,0.14,0.24,57,0.83,0.02,14.4,0.09,5.2,54.9,52.0,0.05,POINT (-5.860864531401914 54.30713375827389),4.75,10.96,Clay
557634,690,0.5,24.4,1.12,284,0.27,0.33,57,1.17,0.03,21.0,0.09,6.8,53.3,39.0,0.07,POINT (-5.6607078797642565 54.27135412711144),5.54,4.8,Silt
557635,1050,0.5,27.5,0.48,1120,0.19,0.22,75,0.92,0.02,20.7,0.18,5.1,43.2,41.0,0.07,POINT (-5.7028597859682995 54.40848868546578),4.42,11.68,Clay
