,Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,pH,%OM,ARCA_ID,OBJECTID,bh,shape_star,shape_stle,hydoconnec,rainfall_2,slope_2,landclass2,host_2,soilp_2,q10_2,riverbuff2,rwb_stat_2,erosion,riskscore2,ruleid,override,SHAPE__Length,SHAPE__Area,GlobalID,SHAPE_Length,SHAPE_Area,geometry
879,561751,610,0.5,39.8,2.73,1600.0,0.16,0.2,92,0.8,0.02,38.1,0.36,10.8,44.9,79.0,4.7,11.67,{D669A758-FC91-4AC8-8FE9-07654D5E4337},138177,Improved grassland,22307.6756854,682.86393164,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.3,0.2,0.0,1.3,2,,682.86393165,22307.675327,{D669A758-FC91-4AC8-8FE9-07654D5E4337},0.008380026886658754,3.087812955802518e-06,POINT (-5.938547354004582 54.44940355382394)
880,561754,440,0.5,23.9,0.78,373.0,0.1,0.2,65,0.61,0.01,27.1,0.12,4.5,33.4,30.0,4.28,17.86,{5FA43074-E53F-4818-BC03-78CB6C2995EA},75263,Improved grassland,5685.95674492,333.28599366,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.2,1.1,2,,333.28599366,5685.95683452,{5FA43074-E53F-4818-BC03-78CB6C2995EA},0.003819118376672652,7.863696747701005e-07,POINT (-5.916423505593522 54.413541033911)
881,561756,460,0.5,21.8,0.28,353.0,0.28,0.21,44,0.6,0.02,20.1,0.14,3.6,27.9,31.0,4.99,10.37,{585CFCB0-9F02-4326-8804-E05FFEF4CA86},137991,Improved grassland,16880.2963526,584.01718968,Yes,0.1,0.15,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.05,2,,584.01718968,16880.29599222,{585CFCB0-9F02-4326-8804-E05FFEF4CA86},0.006437273859835466,2.333451730628294e-06,POINT (-5.919067594064304 54.39327984489498)
882,561757,360,0.5,21.7,0.19,178.0,0.25,0.22,36,0.54,0.02,15.4,0.12,1.8,27.1,33.0,5.2,17.3,{747AC47B-81A0-4B1A-A50C-3D74C503BA14},64048,Improved grassland,6233.76174772,384.1894234,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,384.1894234,6233.761721,{747AC47B-81A0-4B1A-A50C-3D74C503BA14},0.0048974328151247986,8.617551671175536e-07,POINT (-5.970069857611306 54.39473248168698)
883,561768,1250,0.5,51.8,2.45,1710.0,0.3,0.17,67,0.48,0.02,41.8,0.35,12.2,35.4,48.0,4.81,12.55,{4A4EC54D-F715-45C3-B578-E4935ADDFD7D},138110,Improved grassland,20746.6345834,750.94965371,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.6,1.5,3,,750.94965372,20746.63478634,{4A4EC54D-F715-45C3-B578-E4935ADDFD7D},0.008815342721078652,2.8709871540082322e-06,POINT (-5.9524722474749545 54.43732173249715)
884,561772,640,0.5,46.0,0.52,810.0,0.19,0.26,67,0.81,0.02,23.6,0.16,6.7,51.5,40.0,4.8,17.61,{CFE67293-4CD8-435D-8003-A7B194EEE6C2},137295,Improved grassland,2128.52413029,235.81926313,No,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.9,2,,235.81926314,2128.52410185,{CFE67293-4CD8-435D-8003-A7B194EEE6C2},0.003295028969308228,2.941523947502741e-07,POINT (-6.065765290835166 54.37974451793392)
885,561773,1010,0.5,47.4,0.59,809.0,0.12,0.3,86,0.79,0.02,29.8,0.2,14.6,47.7,39.0,4.25,13.96,{E686C8CC-AC33-438E-875B-448989321F46},74498,Improved grassland,11933.2841096,426.06259854,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.9,2,,426.06259854,11933.28420445,{E686C8CC-AC33-438E-875B-448989321F46},0.005356705032934311,1.64887823409764e-06,POINT (-5.941296191139061 54.375870184911)
886,561774,780,0.5,35.7,0.56,1250.0,0.27,0.19,64,0.8,0.02,17.9,0.18,5.1,58.9,46.0,4.83,11.65,{7844690F-485F-4A2D-AAF9-0E61EB3C98F6},148323,Improved grassland,10482.1901955,414.17368416,No,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.9,2,,414.17368416,10482.19011355,{7844690F-485F-4A2D-AAF9-0E61EB3C98F6},0.004940442745080828,1.4487313174666082e-06,POINT (-5.989758344341298 54.38445947890302)
887,561781,1000,0.5,31.4,0.46,590.0,0.27,0.23,102,0.88,0.01,30.9,0.28,6.1,38.1,45.0,4.83,13.87,{540FCC21-E2F9-4507-8C4F-B52C03E4F312},148387,Improved grassland,8487.35249937,381.48148273,No,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,381.48148273,8487.35241593,{540FCC21-E2F9-4507-8C4F-B52C03E4F312},0.004784291897652712,1.172303179958107e-06,POINT (-5.951276050189971 54.359983317898525)
888,561793,510,0.5,16.7,0.66,251.0,0.38,0.25,39,0.54,0.02,19.0,0.22,3.9,28.0,67.0,5.04,18.7,{23F88408-D5AD-4E78-BAC5-A6E2966FF615},31550,Improved grassland,5259.09705196,617.38686716,No,0.1,0.1,0.0,0.3,0.2,0.0,0.0,0.2,0.0,0.9,2,,617.38686715,5259.09689774,{23F88408-D5AD-4E78-BAC5-A6E2966FF615},0.007038599270047985,7.257752156737519e-07,POINT (-6.037470370040548 54.32110871536136)
889,561798,730,0.5,17.9,0.8,447.0,0.14,0.16,39,0.33,0.01,27.3,0.24,5.1,22.0,32.0,4.19,15.72,{064560FD-4244-4B58-893B-92888AB63632},64539,Improved grassland,14132.7769238,508.71720673,Yes,0.1,0.1,0.3,0.0,0.3,0.3,0.3,0.2,0.0,1.6,3,,508.71720673,14132.77706763,{064560FD-4244-4B58-893B-92888AB63632},0.0063082929589619455,1.953839810059932e-06,POINT (-5.944782713228268 54.39695518245363)
890,561806,580,0.5,33.4,0.43,471.0,0.87,0.13,50,1.24,0.13,12.6,0.21,2.6,51.4,53.0,4.67,11.52,{FA05CEFE-AEF7-43A7-BBF2-9885F7971A9A},64747,Improved grassland,21092.7162686,596.46014722,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,596.46014722,21092.7164492,{FA05CEFE-AEF7-43A7-BBF2-9885F7971A9A},0.007313625806757483,2.920143546361253e-06,POINT (-5.960563060738047 54.455959127735554)
891,561814,640,0.5,22.0,1.93,1190.0,0.15,0.17,61,0.55,0.01,23.8,0.17,5.9,39.8,41.0,4.17,9.68,{DDA06883-D3F0-482B-994D-70E7895C34FC},138090,Improved grassland,5367.08830791,558.75190715,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.0,2,,558.75190715,5367.08866979,{DDA06883-D3F0-482B-994D-70E7895C34FC},0.007452093357803977,7.430719689526343e-07,POINT (-5.992663385655239 54.457979423320914)
892,561824,320,0.5,24.7,0.28,332.0,0.31,0.06,51,0.63,0.02,14.6,0.11,2.1,59.7,96.0,4.86,9.29,{51BBC295-602A-4089-B2FE-F8511D571DB2},1628,Arable and horticulture,12634.1091181,499.1575167,Yes,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1,,499.1575167,12634.1087241,{51BBC295-602A-4089-B2FE-F8511D571DB2},0.005884034253342685,1.752500277581063e-06,POINT (-6.078046325826592 54.534086646779826)
